"state";"city";"geo_code";"year";"area_total";"area_preservada";"prop_preservada"
"RO";"Alta Floresta D'Oeste";"1100015";"1985";705970,241930176;636048,927193655;90,0957135890954
"RO";"Ariquemes";"1100023";"1985";442608,484909217;335505,656026883;75,8019033674193
"RO";"Cabixi";"1100031";"1985";131248,618779281;103689,18179784;79,002112755345
"RO";"Cacoal";"1100049";"1985";379293,084254816;248549,814225401;65,5297511457977
"RO";"Cerejeiras";"1100056";"1985";278323,324568284;240459,519173874;86,3957483789252
"RO";"Colorado do Oeste";"1100064";"1985";145104,976467355;85809,7166250343;59,1363016721479
"RO";"Corumbiara";"1100072";"1985";306030,723215173;254349,595247013;83,1124380502731
"RO";"Costa Marques";"1100080";"1985";497498,257697764;475646,668435142;95,6077053689106
"RO";"Espigão D'Oeste";"1100098";"1985";451801,363076356;378171,897202823;83,7031333034981
"RO";"Guajará-Mirim";"1100106";"1985";2481552,6361702;2399512,55099813;96,6940018125634
"RO";"Jaru";"1100114";"1985";294415,522332061;178046,244825658;60,4744761469628
"RO";"Ji-Paraná";"1100122";"1985";689660,313929495;546288,571736358;79,2112523662201
"RO";"Machadinho D'Oeste";"1100130";"1985";850917,057138881;815841,718421181;95,8779368184677
"RO";"Nova Brasilândia D'Oeste";"1100148";"1985";170301,836135087;135467,701381564;79,5456493341086
"RO";"Ouro Preto do Oeste";"1100155";"1985";196983,975431654;93032,2247576683;47,2283212651208
"RO";"Pimenta Bueno";"1100189";"1985";624090,072616802;539070,204012188;86,376987499877
"RO";"Porto Velho";"1100205";"1985";3408040,61830723;3234220,32186166;94,8996999768182
"RO";"Presidente Médici";"1100254";"1985";175832,650267505;87988,1531042844;50,0408501893263
"RO";"Rio Crespo";"1100262";"1985";171768,255154739;139979,559059916;81,493264825805
"RO";"Rolim de Moura";"1100288";"1985";145778,479157159;83042,4231013137;56,9648027482771
"RO";"Santa Luzia D'Oeste";"1100296";"1985";119774,237065831;86128,332863134;71,9088970825967
"RO";"Vilhena";"1100304";"1985";1169919,33918437;1104709,07263797;94,4260886744663
"RO";"São Miguel do Guaporé";"1100320";"1985";746009,440814349;698548,400949389;93,6380108255532
"RO";"Nova Mamoré";"1100338";"1985";1006821,90805328;961687,818542846;95,517172486075
"RO";"Alvorada D'Oeste";"1100346";"1985";302921,613706027;260217,258787137;85,9025064615122
"RO";"Alto Alegre dos Parecis";"1100379";"1985";395387,435421186;355786,053767793;89,9841577891294
"RO";"Alto Paraíso";"1100403";"1985";265209,51184767;237059,831050517;89,3858705892413
"RO";"Buritis";"1100452";"1985";326563,541059989;320181,583673655;98,0457226285521
"RO";"Novo Horizonte do Oeste";"1100502";"1985";84347,4226540121;55432,6967147528;65,7194908517054
"RO";"Cacaulândia";"1100601";"1985";196165,967362799;158458,56207077;80,7778047339419
"RO";"Campo Novo de Rondônia";"1100700";"1985";344203,522331764;330532,327429121;96,0281653104451
"RO";"Candeias do Jamari";"1100809";"1985";684416,058239737;662929,970400001;96,8606686559931
"RO";"Castanheiras";"1100908";"1985";89282,2807678198;62976,573642129;70,5364749875742
"RO";"Chupinguaia";"1100924";"1985";512697,591713417;445117,577726113;86,8187377745517
"RO";"Cujubim";"1100940";"1985";386389,781909911;377269,69095883;97,6396655972628
"RO";"Governador Jorge Teixeira";"1101005";"1985";506736,624554249;467726,785247292;92,3017525442785
"RO";"Itapuã do Oeste";"1101104";"1985";408155,332415957;395803,944343246;96,9738511072241
"RO";"Ministro Andreazza";"1101203";"1985";79842,0877086089;42068,7182071572;52,689902549506
"RO";"Mirante da Serra";"1101302";"1985";119186,056513579;97918,6019120217;82,1560883683285
"RO";"Monte Negro";"1101401";"1985";193189,75437055;165122,643208576;85,4717392993109
"RO";"Nova União";"1101435";"1985";80715,0473726149;48807,2529273751;60,4685923085197
"RO";"Parecis";"1101450";"1985";254869,67798192;228185,571645372;89,53029385534
"RO";"Pimenteiras do Oeste";"1101468";"1985";599357,02124268;541329,087528537;90,3183025046022
"RO";"Primavera de Rondônia";"1101476";"1985";60551,0596409596;42915,2067440906;70,874410784152
"RO";"São Felipe D'Oeste";"1101484";"1985";54167,2795876471;35032,3511652056;64,6743780228438
"RO";"São Francisco do Guaporé";"1101492";"1985";1094147,25988577;1069166,16341014;97,7168432996631
"RO";"Seringueiras";"1101500";"1985";377352,897843902;351052,013352777;93,0301623118832
"RO";"Teixeirópolis";"1101559";"1985";45997,5808680933;22390,6975852963;48,6779895001561
"RO";"Theobroma";"1101609";"1985";219739,597208989;177487,881156459;80,7719152172898
"RO";"Urupá";"1101708";"1985";83184,0827707006;60912,3479990017;73,225965797938
"RO";"Vale do Anari";"1101757";"1985";313512,70007857;301932,421454449;96,3062808552193
"RO";"Vale do Paraíso";"1101807";"1985";96569,6269255142;62984,1059449845;65,2214448271248
"AC";"Acrelândia";"1200013";"1985";181127,08445866;168065,570784514;92,7887572898426
"AC";"Assis Brasil";"1200054";"1985";496411,972614583;490739,066770784;98,8572181662098
"AC";"Brasiléia";"1200104";"1985";392804,07545992;359398,041831745;91,4954971918097
"AC";"Bujari";"1200138";"1985";303488,353726964;258609,820257214;85,2124363526236
"AC";"Capixaba";"1200179";"1985";170478,929361641;144198,91690195;84,5845978983461
"AC";"Cruzeiro do Sul";"1200203";"1985";877804,217312869;842257,075911093;95,9504476396124
"AC";"Epitaciolândia";"1200252";"1985";165056,799723001;123840,253671903;75,0288712005392
"AC";"Feijó";"1200302";"1985";2796449,8719841;2759782,47142972;98,6887874901058
"AC";"Jordão";"1200328";"1985";534961,577653232;530557,331486643;99,1767172913782
"AC";"Mâncio Lima";"1200336";"1985";539933,056474005;528606,435006208;97,9022174449245
"AC";"Manoel Urbano";"1200344";"1985";1061925,55910725;1052214,32823589;99,0855073796773
"AC";"Marechal Thaumaturgo";"1200351";"1985";817258,773594275;802589,185829938;98,2050253556997
"AC";"Plácido de Castro";"1200385";"1985";194709,222809799;162999,841100932;83,7144942333616
"AC";"Porto Walter";"1200393";"1985";644299,873091925;635753,483106177;98,673538465135
"AC";"Rio Branco";"1200401";"1985";883506,58858411;793755,842716336;89,8415306657072
"AC";"Rodrigues Alves";"1200427";"1985";306266,42737921;297776,86876737;97,2280479174659
"AC";"Santa Rosa do Purus";"1200435";"1985";614383,389124742;607308,70093159;98,8484896697434
"AC";"Senador Guiomard";"1200450";"1985";232018,462874836;177774,496325469;76,6208404808589
"AC";"Sena Madureira";"1200500";"1985";2375061,03365905;2333920,15350078;98,2677969292059
"AC";"Tarauacá";"1200609";"1985";2016965,55161414;1989684,49839355;98,6474209636969
"AC";"Xapuri";"1200708";"1985";534724,963656167;476217,644989422;89,0584276696747
"AC";"Porto Acre";"1200807";"1985";260444,731463892;236197,277859845;90,6899811458048
"AM";"Alvarães";"1300029";"1985";592345,359882486;565945,96675051;95,5432430268022
"AM";"Amaturá";"1300060";"1985";475417,869524994;441861,531564113;92,9417171478202
"AM";"Anamã";"1300086";"1985";244613,553360433;223812,528635073;91,4963727726445
"AM";"Anori";"1300102";"1985";603617,648741998;527595,40676156;87,405563416034
